codlog;tipo;titulo;preposicao;nome;cep
72700;R; ; ;AUGUSTO VALERIO DO SACRAMENTO;05203-000
72701;R; ; ;ANTONIO HELIO DE A. MARQUES;04653-000
72703;R; ; ;JOAO VELOSO DE OLIVEIRA;05126-000
72704;R; ; ;JORGE JONES;08030-000
72707;R; ; ;BOA VENTURA;03817-000
72708;R; ; ;GUAJIRU;08111-000
72709;R; ; ;RIO ITAPICU-MIRIM;08121-000
72710;R; ; ;JOAO NEDER;08150-000
72713;R; ; ;FRANCISCO LOURENCO;08310-000
72714;R; ; ;MANOEL BARRIO GARCIA;05821-000
72718;R; ; ;DIRCEU DE ALMEIDA;05126-000
72721;R; ; ;VERISSIMO;03817-000
72723;R; ; ;MANUEL CARDOSO;08280-000
72724;R; ; ;PEDRO DE LABATUT;08280-000
72725;R; ; ;QUARESMA DELGADO;08310-000
72729;R; ; ;JOAO SPINARD;05125-000
72732;R; ; ;BRUSQUE;03817-000
72734;R; ; ;RIO IAPOGUACU;08121-000
72735;R; ; ;JOSE INOCENCIO DA COSTA;08151-000
72736;R; ; ;FERNANDEZ PALERO;00000-000
72738;R; ; ;INACIO DA MOTA PORTELA;08310-000
72742;R; ; ;SESSENTA E NOVE (J. SAO PAULO);00000-000
72748;R; ; ;LAGOA NOVA;03817-000
72749;R; ; ;SESSENTA E OITO (J. SAO PAULO);00000-000
72750;R; ; ;ATLANTICO MERIDIONAL;02474-000
72751;R; ; ;ORLANDO ALFIERI;02418-000
72755;R;DR; ;ANTONIO LUCIANO VIVIANI;03322-000
72756;R; ; ;JOAQUIM PEREIRA LIMA;05126-000
72760;R; ; ;ODILON CHAVES;08150-000
72761;R; ; ;SESSENTA E QUATRO (J. S PAULO);00000-000
72762;R; ; ;EZIO MARANEZI;08280-000
72763;R; ; ;FELIPE COELHO;08331-000
72764;R; ; ;REDUCAO DE GUARAMBARE;08310-000
72767;R; ; ;JOSE THEODORO;05126-000
72769;R; ; ;ARAUA;03817-000
72772;R; ; ;FELIX FLAMENGO;08331-000
72775;R; ; ;PEDRO FERREIRA DE SOUZA;05126-000
72778;R; ; ;CAMPO ERE;03817-000
72779;R; ; ;FRANCISCO MOREIRA;08151-000
72784;R; ; ;VALE DO IPOJUCA;08285-000
72786;R; ; ;PINDAI;03817-000
72787;R; ; ;FABIANO DE FREITAS;08151-000
72788;R; ; ;SESSENTA E TRES (J SAO PAULO);00000-000
72790;R; ; ;ISAAR CARLOS DE CAMARGO;08280-000
72791;R; ; ;ANTONIO GARCIA DA CUNHA;08310-000
72792;R; ; ;ALMEIDA FILHO;05125-000
72796;R; ; ;CACHOEIRA TIJUCO;08111-000
72797;R; ; ;RIO TACOARI;08121-000
72798;R; ; ;FELIPE CASSIANO;08150-000
72799;R;PROF; ;DEMO GHIDELLI;08465-000
72801;R; ; ;BANDEIRA DO RIO GRANDE;08310-000
72805;R; ; ;BOFETE;04840-000
72806;AV; ; ;SETE (J. GUANABARA-A MOO);00000-000
72808;R; ; ;GERONIMO BARBOSA DA SILVA;08150-000
72809;AV; ; ;GUAXIMBE;08235-000
72810;AV; ; ;JOSE VELHO BARRETO;03968-000
72812;R; ; ;FRANCISCO DE ABREU;05863-000
72815;R; ; ;ARTHUR MAZZETTI;02433-000
72816;R; ; ;DORA DA PENHA DOS SANTOS;02850-000
72817;R; ; ;JUVIA;08042-000
72818;PS; ; ;SETE (C. A E CARVALHO-S MIG);00000-000
72819;R; ; ;ARMANDO CARREIRA;08310-000
72820;PS; ; ;SETE (V. SAO FRANCISCO-BUT);05352-000
72821;R; ; ;FRANCISCO DUARTE MALHA;05762-000
72822;PS; ;DE;SERVIDAO SETE (TAT);03939-000
72825;R; ; ;EDUARDO CARLOS MOLDENHAUSER;04823-000
72826;R; ; ;JOAO MIGUEL FERNANDES COELHO;05744-000
